context,name,suffix,driver,sensor,regex,resource,timeout,rename,input1,output1,input2,output2,input3,output3,input4,output4,input5,output5,input6,output6,input7,output7
adcpa-m-glider,adcpa-m-glider,recovered,/moas/gl/adcpa/adcpa_m_glider_recovered_driver.py,XX00XXXX-XX00X-00-ADCPMR000,,moas/gl/adcpa/resource,,,ND072023.PD0,ND072023_recov.yml,,,,,,,,,,,,
adcpa-m-glider,adcpa-m-glider,telemetered,/moas/gl/adcpa/adcpa_m_glider_telemetered_driver.py,XX00XXXX-XX00X-00-ADCPMT000,,moas/gl/adcpa/resource,,,ND072023.PD0,ND072023_telem.yml,,,,,,,,,,,,
adcps-jln-sio,adcps-jln-sio,recovered,/adcps_jln/adcps_jln_driver.py,XX00XXXX-XX00X-00-ADCPSJ000,,adcps_jln/stc/resource,,,ADCP_data_20130702.000,ADCP_data_20130702.yml,,,,,,,,,,,,
adcps-jln-sio,adcps-jln-sio,telemetered,/adcps_jln/sio/adcps_jln_sio_telemetered_driver.py,XX00XXXX-XX00X-00-ADJLST000,,,,,,,,,,,,,,,,,,
adcps-jln-stc,adcps-jln-stc,recovered,/adcps_jln/adcps_jln_driver.py,XX00XXXX-XX00X-00-ADCPSJ000,,adcps_jln/stc/resource,,,ADCP_CCE1T_20.000,ADCP_CCE1T_20.yml,,,,,,,,,,,,
adcps-jln-stc,adcps-jln-stc,telemetered,/adcps_jln/stc/adcps_jln_stc_driver.py,XX00XXXX-XX00X-00-ADCPSS000,,adcps_jln/stc/resource,,,adcpt_20140504_015742.DAT,adcpt_20140504_015742.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd0,adcpt-acfgm-dcl-pd0,recovered,/adcpt_acfgm/dcl/pd0/adcpt_acfgm_dcl_pd0_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTR000,,adcpt_acfgm/dcl/pd0/resource,,,20140424.adcpt.log,20140424.recov.adcpt.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd0,adcpt-acfgm-dcl-pd0,telemetered,/adcpt_acfgm/dcl/pd0/adcpt_acfgm_dcl_pd0_telemetered_driver.py,XX00XXXX-XX00X-00-ADCPTT000,,adcpt_acfgm/dcl/pd0/resource,,,20140424.adcpt.log,20140424.telem.adcpt.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd8,adcpt-acfgm-dcl-pd8,recovered,/adcpt_acfgm/dcl/pd8/adcpt_acfgm_dcl_pd8_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTR800,,adcpt_acfgm/dcl/pd8/resource,,,20131201.adcp_mod.log,20131201.adcp_mod_recov.yml,,,,,,,,,,,,
adcpt-acfgm-dcl-pd8,adcpt-acfgm-dcl-pd8,telemetered,/adcpt_acfgm/dcl/pd8/adcpt_acfgm_dcl_pd8_telemetered_driver.py,XX00XXXX-XX00X-00-ADCPTR800,,adcpt_acfgm/dcl/pd8/resource,,,20131201.adcp_mod.log,20131201.adcp_mod.yml,,,,,,,,,,,,
adcpt-m-fcoeff,adcpt-m-fcoeff,recovered,/adcpt_m/adcpt_m_fcoeff_recovered_driver.py,XX00XXXX-XX00X-00-ADCPTM002,,adcpt_m/resource,,,FCoeff1404180021.txt,FCoeff1404180021.yml,,,,,,,,,,,,
cg-cpm-eng-cpm,cg-cpm-eng-cpm,recovered,/cg_cpm_eng/cpm/cg_cpm_eng_cpm_recovered_driver.py,XX00XXXX-XX00X-00-CGCPME100,,cg_cpm_eng/cpm/resource,,,cpm_status.20140817_1255.txt,cpm_status.20140817_1255_recov.yml,,,,,,,,,,,,
cg-cpm-eng-cpm,cg-cpm-eng-cpm,telemetered,/cg_cpm_eng/cpm/cg_cpm_eng_cpm_telemetered_driver.py,XX00XXXX-XX00X-00-CGCPME000,,cg_cpm_eng/cpm/resource,,,cpm_status.20140817_1255.txt,cpm_status.20140817_1255_telem.yml,,,,,,,,,,,,
cg-dcl-eng-dcl ,cg-dcl-eng-dcl ,recovered,/cg_dcl_eng/dcl/cg_dcl_eng_dcl_recovered_driver.py,XX00XXXX-XX00X-00-CGDCLE100,,cg_dcl_eng/dcl/resource,,,20140915.syslog.log,recov.20140915.syslog.yml,,,,,,,,,,,,
cg-dcl-eng-dcl ,cg-dcl-eng-dcl ,telemetered,/cg_dcl_eng/dcl/cg_dcl_eng_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-CGDCLE000,,cg_dcl_eng/dcl/resource,,,20140915.syslog.log,telem.20140915.syslog.yml,,,,,,,,,,,,
cg-stc-eng-stc,cg-stc-eng-stc,recovered,/cg_stc_eng/stc/cg_stc_eng_stc_recovered_driver.py,XX00XXXX-XX00X-00-CGSTCE100,,cg_stc_eng/stc/resource,,,stc_status.txt,stc_first_recov.result.yml,,,,,,,,,,,,
cg-stc-eng-stc,cg-stc-eng-stc,telemetered,/cg_stc_eng/stc/cg_stc_eng_stc_telemetered_driver.py,XX00XXXX-XX00X-00-CGSTCE000,,cg_stc_eng/stc/resource,,,stc_status.txt,stc_first.result.yml,,,,,,,,,,,,
ctdbp-cdef-ce,ctdbp-cdef-ce,recovered,/ctdbp_cdef/ce/ctdbp_cdef_ce_driver.py,XX00XXXX-XX00X-00-CTDBPCDEFCER0,,ctdbp_cdef/ce/resource,,,data1.log,data1.yml,,,,,,,,,,,,
ctdbp-cdef-cp,ctdbp-cdef-cp,recovered,/ctdbp_cdef/cp/ctdbp_cdef_cp_driver.py,XX00XXXX-XX00X-00-CTDBPCDEFCPR0,,ctdbp_cdef/cp/resource,,,data1.log,data1.yml,,,,,,,,,,,,
ctdbp-cdef-dcl-ce ,ctdbp-cdef-dcl-ce ,telemetered,,,,,,,,,,,,,,,,,,,,
ctdbp-cdef-dcl-cp ,ctdbp-cdef-dcl-cp ,telemetered,,,,,,,,,,,,,,,,,,,,
ctdgv-m-glider,ctdgv-m-glider,recovered,/moas/gl/ctdgv/ctdgv_m_glider_recovered_driver.py,XX00XXXX-XX00X-00-CTDGVR000,,moas/gl/ctdgv/resource,,,single_ctdgv_record.mrg,single_ctdgv_record_recovered.mrg.result.yml,,,,,,,,,,,,
ctdgv-m-glider,ctdgv-m-glider,telemetered,/moas/gl/ctdgv/ctdgv_m_glider_telemetered_driver.py,XX00XXXX-XX00X-00-CTDGVT000,,moas/gl/ctdgv/resource,,,single_ctdgv_record.mrg,single_ctdgv_record.mrg.result.yml,,,,,,,,,,,,
ctdmo-ghqr ,ctdmo-ghqr ,recovered,,,,,,,,,,,,,,,,,,,,
ctdmo-ghqr-co ,ctdmo-ghqr-co ,recovered,,,,,,,,,,,,,,,,,,,,
ctdmo-ghqr-imodem ,ctdmo-ghqr-imodem ,recovered,/ctdmo_ghqr/imodem/ctdmo_ghqr_imodem_recovered_driver.py,XX00XXXX-XX00X-00-CTDMOM000,,ctdmo_ghqr/imodem/resource,,,ctdmo01_20140712_120719.DAT,ctdmo01_20140712_120719_recov.yml,,,,,,,,,,,,
ctdmo-ghqr-imodem ,ctdmo-ghqr-imodem ,telemetered,/ctdmo_ghqr/imodem/ctdmo_ghqr_imodem_telemetered_driver.py,XX00XXXX-XX00X-00-CTDMOM000,,ctdmo_ghqr/imodem/resource,,,ctdmo01_20140712_120719.DAT,ctdmo01_20140712_120719_telem.yml,,,,,,,,,,,,
ctdmo-ghqr-sio-mule ,ctdmo-ghqr-sio-mule ,telemetered,,,,,,,,,,,,,,,,,,,,
ctdpf-ckl-mmp-cds,ctdpf-ckl-mmp-cds,recovered,/ctdpf_ckl/mmp_cds/ctdpf_ckl_mmp_cds_recovered_driver.py,XX00XXXX-XX00X-00-CTDPFM000,,ctdpf_ckl/mmp_cds/resource,300,,large_import.mpk,large_import.yml,ctd_1_20131124T005004_458.mpk,first_three.yml,,,,,,,,,,
ctdpf-ckl-wfp,ctdpf-ckl-wfp,recovered,/ctdpf_ckl/wfp/ctdpf_ckl_wfp_recovered_driver.py,XX00XXXX-XX00X-00-CTDPFW100,,ctdpf_ckl/wfp/resource,,,first.DAT,rec_first.result.yml,,,,,,,,,,,,
ctdpf-ckl-wfp,ctdpf-ckl-wfp,telemetered,/ctdpf_ckl/wfp/ctdpf_ckl_wfp_telemetered_driver.py,XX00XXXX-XX00X-00-CTDPFW000,,ctdpf_ckl/wfp/resource,,,first.DAT,tel_first.result.yml,,,,,,,,,,,,
ctdpf-ckl-wfp-sio-mule ,ctdpf-ckl-wfp-sio-mule,telemetered,/ctdpf_ckl/wfp_sio/ctdpf_ckl_wfp_sio_telemetered_driver.py,XX00XXXX-XX00X-00-CTDPFWST0,,ctdpf_ckl/wfp/resource,,,first.DAT,tel_first.result.yml,,,,,,,,,,,,
dofst-k-wfp,dofst-k-wfp,recovered,/dofst_k/wfp/dofst_k_wfp_recovered_driver.py,XX00XXXX-XX00X-00-DOFSTR000,,dofst_k/wfp/resource,,,first.DAT,rec_first.result.yml,,,,,,,,,,,,
dofst-k-wfp,dofst-k-wfp,telemetered,/dofst_k/wfp/dofst_k_wfp_telemetered_driver.py,XX00XXXX-XX00X-00-DOFSTT000,,dofst_k/wfp/resource,,,first.DAT,tel_first.result.yml,,,,,,,,,,,,
dosta-abcdjm-dcl ,dosta-abcdjm-dcl ,recovered,/dosta_abcdjm/dcl/dosta_abcdjm_dcl_recovered_driver.py,XX00XXXX-XX00X-00-DABCDR000,,dosta_abcdjm/dcl/resource,,,20010121.dosta1.log,rec_20010121.dosta1.yml,,,,,,,,,,,,
dosta-abcdjm-dcl ,dosta-abcdjm-dcl ,telemetered,/dosta_abcdjm/dcl/dosta_abcdjm_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-DABCDT000,,dosta_abcdjm/dcl/resource,,,20010121.dosta1.log,tel_20010121.dosta1.yml,,,,,,,,,,,,
dosta-abcdjm-glider,dosta-abcdjm-glider,recovered,/moas/gl/dosta/dosta_abcdjm_glider_recovered_driver.py,XX0XXXXX-XXX01-00-DOSTA000,,moas/gl/dosta/resource,,,single_dosta_record_recovered.mrg,single_dosta_record_recovered.mrg.result.yml,multiple_dosta_record_recovered.mrg,multiple_dosta_record_recovered.mrg.result.yml,,,,,,,,,,
dosta-abcdjm-glider,dosta-abcdjm-glider,telemetered,/moas/gl/dosta/dosta_abcdjm_glider_telemetered_driver.py,XX0XXXXX-XXX01-00-DOSTA000,,moas/gl/dosta/resource,,,single_dosta_record.mrg,single_dosta_record.mrg.result.yml,multiple_dosta_record.mrg,multiple_dosta_record.mrg.result.yml,,,,,,,,,,
dosta-abcdjm-mmp-cds,dosta-abcdjm-mmp-cds,recovered,/dosta_abcdjm/mmp_cds/dosta_abcdjm_mmp_cds_recovered_driver.py,XX00XXXX-XX00X-00-DABMCR000,,dosta_abcdjm/mmp_cds/resource,300,,large_import.mpk,large_import.yml,,,,,,,,,,,,
dosta-abcdjm-sio ,dosta-abcdjm-sio ,telemetered, /dosta_abcdjm/sio/dosta_abcdjm_sio_telemetered_driver.py,XX00XXXX-XX00X-00-DOSTASIO000,,dosta_abcdjm/sio/resource,,,node59p1_1.dosta.dat,dosta_telem_1.yml,,,,,,,,,,,,
dosta-abcdjm-sio  ,dosta-abcdjm-sio  ,recovered, /dosta_abcdjm/sio/dosta_abcdjm_sio_recovered_driver.py,XX00XXXX-XX00X-00-DOSTASIO001,,dosta_abcdjm/sio/resource,,,DOS15908_1st7.DAT,dosta_recov_1.yml,,,,,,,,,,,,
dosta-ln-wfp ,dosta-ln-wfp,recovered,/dosta_ln/wfp/dosta_ln_wfp_driver.py,XX00XXXX-XX00X-00-DOSTLN000,,,,,,,,,,,,,,,,,,
flcdr-x-mmp-cds,flcdr-x-mmp-cds,recovered,/flntu_x/mmp_cds/flcdr_x_mmp_cds_recovered_driver.py,XX00XXXX-XX00X-00-FLCDRX000,,flntu_x/mmp_cds/resource,,,flcdr_1_20131124T005004_459.mpk,first_four_cdr.yml,,,,,,,,,,,,
flntu-x-mmp-cds,flntu-x-mmp-cds,recovered,/flntu_x/mmp_cds/flntu_x_mmp_cds_recovered_driver.py,XX00XXXX-XX00X-00-FLNTUX000,,flntu_x/mmp_cds/resource,,,flntu_1_20131124T005004_459.mpk,first_four.yml,,,,,,,,,,,,
flord-l-wfp ,flord-l-wfp ,recovered,/flord_l_wfp/flord_l_wfp_recovered_driver.py,XX00XXXX-XX00X-00-FLORDL000,,flord_l_wfp/sio_mule/resource,,,E0000001.DAT,E0000001_50.yml,,,,,,,,,,,,
flord-m-glider,flord-m-glider,recovered,/moas/gl/flord_m/flord_m_glider_recovered_driver.py,XX00XXXX-XX00X-00-FLORDMR000,,moas/gl/flord_m/resource,,,single_flord_record.mrg,single_flord_record.mrg---recovered_result.yml,multiple_flord_record.mrg, multiple_flord_record.mrg---recovered_result.yml,,,,,,,,,,
flord-m-glider,flord-m-glider,telemetered,/moas/gl/flord_m/flord_m_glider_telemetered_driver.py,XX00XXXX-XX00X-00-FLORDMT000,,moas/gl/flord_m/resource,,,single_flord_record.mrg,single_flord_record.mrg---result.yml,multiple_flord_record.mrg,multiple_flord_record.mrg---result.yml,,,,,,,,,,
flort-dj-dcl,flort-dj-dcl,recovered,/flort_dj/dcl/flort_dj_dcl_recovered_driver.py,XX00XXXX-XX00X-00-FLORTDJR0,,flort_dj/dcl/resource,,,20020215.flort2.log,rec_20020215.flort2.yml,,,,,,,,,,,,
flort-dj-dcl,flort-dj-dcl,telemetered,/flort_dj/dcl/flort_dj_dcl_telemetered_driver.py,XX00XXXX-XX00X-00-FLORTDJT0,,flort_dj/dcl/resource,,,20020215.flort2.log,tel_20020215.flort2.yml,,,,,,,,,,,,
flort-dj-sio ,flort-dj-sio ,recovered,,,,,,,,,,,,,,,,,,,,
flort-dj-sio ,flort-dj-sio ,telemetered,,,,,,,,,,,,,,,,,,,,
flort-kn-stc-imodem,flort-kn-stc-imodem,recovered,/FLORT_KN/STC_IMODEM/flort_kn__stc_imodem_recovered_driver.py,XX00XXXX-XX00X-00-FLORTKNR0,,FLORT_KN/STC_IMODEM/resource,,,second.DAT, secondRecovered.result.yml,,,,,,,,,,,,
flort-kn-stc-imodem,flort-kn-stc-imodem,telemetered,/FLORT_KN/STC_IMODEM/flort_kn__stc_imodem_telemetered_driver.py,XX00XXXX-XX00X-00-FLORTKNT0,,FLORT_KN/STC_IMODEM/resource,,,second.DAT, second.result.yml,,,,,,,,,,,,
